goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkTunny/SHA256=1kB/Concurrency=50-2        	 1000000	      1824 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=50-2        	 1000000	      2061 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=50-2        	 1000000	      1797 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=100-2       	 1000000	      1586 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=100-2       	 1000000	      1756 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=100-2       	 1000000	      1597 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=100-2       	 1000000	      1913 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=100-2       	 1000000	      1596 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=8kB/Concurrency=1-2         	 1000000	      4312 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=8kB/Concurrency=1-2         	 1000000	      4332 ns/op	     248 B/op	       5 allocs/op
